id,type,title,release_year,description
19,Movie,Intrusion,2021,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
20,TV Show,Jaguar,2021,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
26,TV Show,Love on the Spectrum,2021,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
31,Movie,Ankahi Kahaniya,2021,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
32,TV Show,Chicago Party Aunt,2021,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
34,TV Show,Squid Game,2021,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
36,Movie,The Father Who Moves Mountains,2021,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
37,Movie,The Stronghold,2021,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
40,TV Show,Chhota Bheem,2021,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
41,TV Show,He-Man and the Masters of the Universe,2021,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
46,Movie,My Heroes Were Cowboys,2021,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
50,TV Show,Castle and Castle,2021,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
56,TV Show,Nailed It,2021,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
65,Movie,Nightbooks,2021,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
66,TV Show,Numberblocks,2021,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
69,Movie,Schumacher,2021,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
71,TV Show,Too Hot To Handle: Latino,2021,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
72,Movie,A StoryBots Space Adventure,2021,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
73,TV Show,Jack Whitehall: Travels with My Father,2021,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
75,TV Show,The World's Most Amazing Vacation Rentals,2021,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
76,Movie,You vs. Wild: Out Cold,2021,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
78,Movie,Little Singham - Black Shadow,2021,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
80,Movie,Tughlaq Durbar (Telugu),2021,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
81,Movie,Firedrake the Silver Dragon,2021,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
82,Movie,Kate,2021,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
83,TV Show,Lucifer,2021,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
84,TV Show,Metal Shop Masters,2021,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize."
86,TV Show,Pokémon Master Journeys: The Series,2021,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!"
87,Movie,Prey,2021,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,2021,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
92,Movie,The Women and the Murderer,2021,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
93,TV Show,Into the Night,2021,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.
94,Movie,JJ+E,2021,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
96,TV Show,The Circle,2021,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
98,TV Show,Kid Cosmic,2021,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.
99,TV Show,Octonauts: Above & Beyond,2021,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
100,TV Show,On the Verge,2021,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
102,Movie,Untold: Breaking Point,2021,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
103,TV Show,Countdown: Inspiration4 Mission to Space,2021,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
107,TV Show,Bunk'd,2021,"The Ross siblings of Disney's hit series "Jessie" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
109,TV Show,Dive Club,2021,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
110,TV Show,La casa de papel,2021,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
111,TV Show,Money Heist: From Tokyo to Berlin,2021,The filmmakers and actors behind "Money Heist" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.
112,TV Show,Sharkdog,2021,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
113,Movie,Worth,2021,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
114,Movie,Afterlife of the Party,2021,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
118,Movie,Final Account,2021,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
121,TV Show,Heroes of Goo Jit Zu,2021,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers."
126,TV Show,Q-Force,2021,"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!"
131,Movie,Barbie Big City Big Dreams,2021,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
133,TV Show,Brave Animated Series,2021,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.
148,TV Show,How to Be a Cowboy,2021,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son."
182,TV Show,Turning Point: 9/11 and the War on Terror,2021,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad."
185,TV Show,Sparking Joy,2021,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world."
186,Movie,Untold: Crime & Penalties,2021,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good."
187,TV Show,Hometown Cha-Cha-Cha,2021,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way."
188,TV Show,The Ingenuity of the Househusband,2021,A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.
191,Movie,Thimmarusu,2021,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
194,TV Show,D.P.,2021,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.
197,Movie,He's All That,2021,An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic "She's All That."
198,TV Show,I Heart Arlo,2021,It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.
199,TV Show,King of Boys: The Return of the King,2021,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness."
214,TV Show,RIDE ON TIME,2021,Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.
215,Movie,SAS: Rise of the Black Swan,2021,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train."
219,TV Show,Titletown High,2021,"In a Georgia town where football rules and winning is paramount, a high school team tackles romance, rivalries and real life while vying for a title."
220,TV Show,EDENS ZERO,2021,"Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother."
221,TV Show,Family Reunion,2021,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways."
222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",2021,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
223,TV Show,Clickbait,2021,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
224,TV Show,John of God: The Crimes of a Spiritual Healer,2021,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press."
225,TV Show,Motel Makeover,2021,"Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway."
226,TV Show,Open Your Eyes,2021,"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment."
227,TV Show,Post Mortem: No One Dies in Skarnes,2021,"She's back from the dead and has a newfound thirst for blood. Meanwhile, her family's funeral parlor desperately needs more business. Hmm, what if..."
231,Movie,The River Runner,2021,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash."
232,Movie,The Water Man,2021,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
234,Movie,Count Me In,2021,This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.
235,TV Show,Oggy Oggy,2021,Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!
236,Movie,Untold: Caitlyn Jenner,2021,Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.
237,Movie,Boomika,2021,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
238,Movie,Boomika (Hindi),2021,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
239,Movie,Boomika (Malayalam),2021,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
240,Movie,Boomika (Telugu),2021,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
241,Movie,The Witcher: Nightmare of the Wolf,2021,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
242,TV Show,Manifest,2021,"When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities."
243,TV Show,Comedy Premium League,2021,"With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs."
244,TV Show,Everything Will Be Fine,2021,A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.
246,TV Show,Korean Cold Noodle Rhapsody,2021,"Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved."
247,Movie,Man in Love,2021,"When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love."
248,Movie,Sweet Girl,2021,"He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now."
249,TV Show,The Chair,2021,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department."
250,Movie,The Loud House Movie,2021,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!"
253,Movie,Black Island,2021,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.
255,TV Show,Go! Go! Cory Carson,2021,"Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills."
256,Movie,Memories of a Murderer: The Nilsen Tapes,2021,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.
262,Movie,The Secret Diary of an Exchange Student,2021,"Looking to shake things up, two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?"
263,Movie,Untold: Deal With the Devil,2021,"Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life."
271,Movie,Beckett,2021,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.
272,TV Show,Brand New Cherry Flavor,2021,"A filmmaker heads to Hollywood in the early '90s to make her movie but tumbles down a hallucinatory rabbit hole of sex, magic, revenge — and kittens."
273,TV Show,Fast & Furious Spy Racers,2021,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.
274,TV Show,Gone for Good,2021,"Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel."
275,TV Show,Grace and Frankie,2021,"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series."
276,TV Show,The Kingdom,2021,"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems."
277,TV Show,Valeria,2021,"A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."
278,TV Show,AlRawabi School for Girls,2021,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.
279,Movie,Lokillo: Nothing's the Same,2021,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail."
280,Movie,Monster Hunter: Legends of the Guild,2021,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon."
281,TV Show,Bake Squad,2021,Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.
284,Movie,Misha and the Wolves,2021,"As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny."
285,Movie,The Kissing Booth 3,2021,"Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee."
287,TV Show,Gabby's Dollhouse,2021,"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures."
288,TV Show,I Need Romance,2021,"A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love."
291,Movie,Untold: Malice at the Palace,2021,"Key figures from an infamous 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy."
292,TV Show,SHAMAN KING,2021,"Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King."
294,Movie,Slay,2021,"In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities."
296,Movie,The Paper Tigers,2021,"After reuniting as middle-aged men, three kung-fu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor."
297,TV Show,Hit & Run,2021,A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.
298,TV Show,Navarasa,2021,"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series."
300,Movie,The Swarm,2021,"A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood."
301,Movie,Vivo,2021,A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.
305,Movie,Lady Boss: The Jackie Collins Story,2021,"Queen of Sleaze" or feminist pioneer? Powerhouse novelist Jackie Collins created a brash sex-positive persona while hiding her private struggles.
308,Movie,Aftermath,2021,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history."
310,TV Show,Car Masters: Rust to Riches,2021,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks."
311,TV Show,Cocaine Cowboys: The Kings of Miami,2021,Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.
312,TV Show,Control Z,2021,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity."
313,TV Show,Cooking With Paris,2021,"With an anyone-can-cook attitude, Paris Hilton adds her own flair to every dish. Fun is just one edible glitter bomb away on this unique cooking show."
318,Movie,Pray Away,2021,Ex-leaders and a survivor of the so-called "conversion therapy" movement speak out about its harm to the LGBTQ+ community and its devastating persistence.
319,Movie,Shiny_Flakes: The Teenage Drug Lord,2021,Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series "How to Sell Drugs Online (Fast)."
321,TV Show,Top Secret UFO Projects: Declassified,2021,"Though claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty."
340,Movie,I missed you: Director's Cut,2021,A workaholic reconnects with two men she blocked on social media five years ago and begins to reflect on her past life choices.
362,TV Show,Charmed,2021,"After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy."
364,Movie,The Vault,2021,A genius engineer and his crew of amateur thieves plot a scheme to seize a legendary lost treasure hidden in a fortress beneath the Bank of Spain.
365,TV Show,Centaurworld,2021,"On a quest to reunite with her trusty rider, a fearless war horse journeys through a whimsical world filled with magic, adventure and singing centaurs."
367,TV Show,Glow Up,2021,"In this competition show, aspiring makeup artists navigate colorful challenges to win a career-making opportunity in the beauty industry."
370,TV Show,Myth & Mogul: John DeLorean,2021,"In the automotive world, John DeLorean rose from engineer to executive to icon. But under the hood of his self-created legend lies darkness and deceit."
371,TV Show,Outer Banks,2021,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."
373,Movie,Rurouni Kenshin: The Beginning,2021,"Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets the gentle Tomoe Yukishiro, his story begins to change."
374,Movie,The Last Mercenary,2021,A legendary secret agent-turned-mercenary comes out of hiding to save the son he's never met. Learning how to be a dad may be his toughest mission yet.
376,Movie,Resort to Love,2021,"Reeling from a broken heart and career meltdown, a singer takes a gig at a swanky island resort — where her ex-fiancé happens to be getting married."
377,TV Show,Transformers: War for Cybertron: Kingdom,2021,The frantic race to locate the Allspark first culminates on a strange planet as the future comes crashing through to the present day.
378,Movie,Bartkowiak,2021,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub — and soon learns his sibling's death wasn’t an accident."
380,TV Show,Tattoo Redo,2021,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones."
381,TV Show,The Flash,2021,A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
382,TV Show,The Snitch Cartel: Origins,2021,"Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins."
383,TV Show,All American,2021,Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.
385,Movie,Hostage House,2021,"A realtor and her daughter get taken captive by two fugitive criminals during an open house, forcing her to find creative ways to ensure their survival."
386,TV Show,How to Sell Drugs Online (Fast),2021,"To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom – and becomes one of Europe's biggest dealers."
387,TV Show,Mighty Express,2021,Catch a ride with the Mighty Express — a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!
388,Movie,Mimi,2021,"An aspiring actress in a small town agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes unexpected turns."
389,TV Show,Plastic Cup Boyz: Laughing My Mask Off!,2021,Comedy collective The Plastic Cup Boyz pour out the punchlines in Atlanta during a trio of raw and lively stand-up specials.
394,Movie,A Second Chance:  Rivals!,2021,"Crushed when she doesn't qualify for the Olympics, a now-grown Maddy Cornell finds new purpose coaching young gymnasts going up against a rival team."
395,Movie,African America,2021,A disgruntled South African woman leaves her fiancé and embezzles money from her job to pursue her dream of being a Broadway star in New York City.
396,Movie,Bankrolled,2021,Two directionless millennial bros get high and pitch a bold new social justice app that raises millions. Then they have to come up with the app.
397,Movie,Blood Red Sky,2021,"When a group of terrorists hijacks an overnight transatlantic flight, a mysteriously ill woman must unleash a monstrous secret to protect her young son."
398,TV Show,Feels Like Ishq,2021,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.
399,Movie,Kingdom: Ashin of the North,2021,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of "Kingdom.""
400,TV Show,Masters of the Universe: Revelation,2021,"After a calamitous battle fractures Eternia, Teela and an unlikely alliance must prevent the end of the Universe in this sequel to the ’80s classic."
401,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,2021,Take a behind-the-scenes look at “Masters of the Universe: Revelation” as showrunner Kevin Smith and others interview the cast about their iconic roles.
402,TV Show,Sky Rojo,2021,A fatal turn of events at a brothel sends three women haunted by their pasts on a wild run from their pimp and his henchmen.
403,Movie,The Last Letter From Your Lover,2021,"After finding a trove of love letters from 1965, a reporter sets out to solve the mystery of a secret affair — while embarking on a romance of her own."
404,TV Show,The Movies That Made Us,2021,"These blockbusters brought us together and gave us the time of our lives. Meet the actors, directors and industry insiders who made them happen."
405,Movie,9to5: The Story of a Movement,2021,"In this documentary, female office workers in '70s Boston inspire change with a call for better pay, more opportunities and an end to sexual harassment."
427,Movie,Cousins,2021,"Separated as children, three cousins with an unshakeable bond confront their painful pasts and embark on an emotional journey to find each other."
429,Movie,Words Bubble Up Like Soda Pop,2021,"After meeting one bright, sunny day, a shy boy who expresses himself through haiku and a bubbly but self-conscious girl share a brief, magical summer."
431,TV Show,Sexy Beasts,2021,"Hoping to say goodbye to superficial dating, real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test."
432,TV Show,Too Hot to Handle: Brazil,2021,"Sizzling hot young Brazilians meet at a dreamy beach resort. But for a shot at R$500,000 in this fun reality show, they'll have to give up sex."
433,Movie,Trollhunters: Rise of the Titans,2021,"Heroes from "Trollhunters," "3Below" and "Wizards" join forces to fight a shadowy enemy threatening to take over their worlds — and reset Earth itself."
437,Movie,The Tambour of Retribution,2021,"In an impoverished neighborhood, the son of a swordsman falls in love with the daughter of a wedding singer — a taboo match in a traditional society."
438,Movie,Cosmic Sin,2021,"In the year 2524, a disgraced retired general is called back into combat to help prevent an interstellar war against a hostile alien fleet."
440,Movie,Deep,2021,Four insomniac med school students are lured into a neuroscience experiment that spirals out of control — and must find a way out before it’s too late.
441,TV Show,Explained,2021,"This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop."
442,Movie,Fear Street Part 3: 1666,2021,"Thrust back to 1666, Deena learns the truth about Sarah Fier. Back in 1994, the friends fight for their lives — and Shadyside’s future."
443,TV Show,Johnny Test,2021,"How much trouble could one imaginative boy, his faithful dog and two science-loving sisters possibly get into? Hmm, that sounds like a challenge!"
445,TV Show,Naomi Osaka,2021,This intimate series follows Naomi Osaka as she explores her cultural roots and navigates her multifaceted identity as a tennis champ and rising leader.
453,Movie,A Perfect Fit,2021,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé."
454,TV Show,BEASTARS,2021,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst."
456,Movie,Emicida: AmarElo - Live in São Paulo,2021,Brazilian rapper Emicida brings his progressive rhymes and eclectic beats to São Paulo's Theatro Municipal as he performs hits from the album "AmarElo."
458,Movie,Lift Like a Girl,2021,"With the guidance of her relentless coach, a teen weightlifter emerges from a scrappy training camp in Egypt to compete at the championship level."
459,Movie,My Amanda,2021,"Two unusually close friends share every aspect of their lives together. As their lives evolve, their bond remains the only constant."
460,TV Show,Never Have I Ever,2021,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular — but friends, family and feelings won’t make it easy on her."
464,Movie,A Classic Horror Story,2021,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive."
465,Movie,Gunpowder Milkshake,2021,"When an assassin veers off mission to rescue a child, she triggers a war with a powerful crime syndicate — and reunites a gun-wielding sisterhood."
